grid_lat,grid_lon,detections,active_days,mean_frp,max_frp,mean_bright_ti4,max_bright_ti4,static_detections,vegetation_detections
20.95,85.01,84,61,2.3002380952380954,7.6,313.00845238095235,346.99,84,0
22.03,83.37,71,61,1.4029577464788732,2.88,302.86633802816897,310.79,61,10
23.8,85.54,70,61,1.2452857142857143,3.29,301.97342857142854,310.32,9,61
21.99,85.33,65,61,0.9307692307692308,5.71,301.6323076923077,334.36,45,3
22.13,85.38,66,60,0.7736363636363637,1.86,302.3812121212121,308.89,66,0
22.36,82.31,87,59,4.252873563218391,14.45,322.30022988505743,347.79,36,51
20.88,84.98,72,59,2.345972222222222,8.32,311.18319444444444,344.58,70,2
22.1,83.52,66,59,1.9692424242424242,6.03,312.7437878787879,342.69,31,35
23.7,87.12,69,58,1.6807246376811593,5.04,303.37289855072464,314.6,68,1
15.18,76.68,74,57,2.256891891891892,9.96,313.1131081081081,343.08,54,20
23.66,85.0,68,57,1.1544117647058822,2.8,302.6088235294118,311.47,56,12
15.53,73.99,65,57,1.5801538461538462,5.9,309.6864615384615,335.5,63,2
23.83,84.92,123,56,3.3804878048780487,19.74,319.8552845528455,352.7,9,114
24.14,82.57,88,56,1.4757954545454546,5.84,309.0378409090909,340.49,26,62
22.32,82.57,83,56,2.1667469879518073,13.55,314.30397590361446,343.22,48,35
31.25,76.93,62,56,0.5559677419354838,1.32,300.9517741935484,309.72,61,1
21.73,82.21,58,56,1.7005172413793104,7.0,306.8346551724138,316.23,57,1
23.74,86.44,59,55,2.625762711864407,8.65,313.25169491525423,341.31,25,34
20.97,86.02,71,54,2.7828169014084505,9.62,315.1280281690141,351.77,65,6
22.98,72.56,60,54,1.22,3.87,307.898,326.32,27,33
29.12,75.78,59,54,1.2089830508474575,3.92,306.60118644067796,330.27,57,2
22.33,82.61,58,54,1.2341379310344827,2.84,306.988275862069,332.93,52,6
23.63,86.3,58,54,1.1770689655172413,4.19,303.45310344827584,337.59,56,2
21.58,82.02,56,54,1.5742857142857143,4.42,306.5169642857143,316.51,55,1
23.74,85.5,54,54,1.351111111111111,4.43,306.6759259259259,327.97,47,7
19.09,82.17,76,53,2.6010526315789475,9.77,314.335,347.22,46,30
21.76,84.03,66,53,1.9086363636363637,6.08,309.0815151515152,346.24,66,0
24.17,80.7,59,53,1.0998305084745763,5.25,303.8025423728813,314.48,59,0
24.33,81.33,55,53,1.0554545454545454,5.66,304.60472727272725,314.01,37,18
23.31,70.49,53,53,1.16,2.48,305.8160377358491,315.92,53,0
15.19,76.66,63,52,2.2885714285714287,6.09,310.98349206349206,338.19,62,1
23.8,86.34,63,52,2.2196825396825397,4.53,306.19666666666666,316.7,63,0
22.91,69.7,61,52,1.2895081967213113,4.16,305.4311475409836,317.43,52,9
23.41,72.42,59,52,0.7696610169491526,2.74,305.7813559322034,336.76,41,18
24.21,82.53,56,52,1.0189285714285714,3.89,303.95678571428573,346.06,52,4
22.05,85.46,52,52,0.9786538461538462,2.96,303.0019230769231,312.89,52,0
24.14,82.56,71,51,1.68943661971831,5.31,311.30591549295775,339.36,30,41
22.21,84.88,62,51,1.8729032258064517,6.88,311.0082258064516,344.63,61,1
17.06,76.98,55,51,1.4414545454545455,5.46,308.8950909090909,318.37,55,0
22.32,82.66,74,50,1.6333783783783784,4.88,309.2,341.42,74,0
22.35,82.3,58,50,3.578275862068965,10.54,317.26637931034486,352.0,37,21
22.32,82.54,53,50,1.1271698113207547,2.98,303.80490566037736,314.8,35,18
22.34,69.87,50,50,2.2416,3.88,308.5868,316.47,46,4
17.14,77.18,59,49,1.1767796610169492,4.22,306.5249152542373,316.36,59,0
20.96,85.01,58,49,1.7443103448275863,5.61,308.44293103448274,335.78,57,1
20.87,85.0,56,48,3.289107142857143,15.71,316.2369642857143,349.59,54,2
20.89,84.99,55,48,1.96,6.19,307.9778181818182,335.26,9,46
20.7,78.64,52,48,1.3209615384615385,3.57,305.14230769230767,332.13,49,3
24.58,74.8,50,48,1.0956000000000001,2.02,303.86740000000003,313.28,49,1
24.66,74.64,49,48,1.4689795918367348,2.76,304.04224489795916,312.63,44,5
23.7,87.11,55,47,1.6101818181818182,4.4,301.298,309.8,54,1
15.14,76.71,58,46,0.9810344827586207,3.45,303.5958620689655,314.78,51,7
21.36,81.65,54,46,1.3544444444444446,2.51,304.5009259259259,312.17,54,0
24.21,82.52,52,46,1.025576923076923,2.29,301.87461538461537,312.58,48,4
13.16,80.29,51,46,2.032156862745098,6.95,312.55470588235295,338.18,39,12
21.73,83.98,49,46,1.1079591836734695,2.99,304.59632653061226,330.69,36,13
23.7,86.08,62,45,2.666129032258065,9.14,315.6595161290322,345.11,61,1
22.21,84.85,55,45,1.576909090909091,6.39,307.32690909090906,334.48,53,2
13.16,80.28,54,45,3.471111111111111,25.47,315.2266666666667,367.0,50,4
21.93,83.35,53,45,1.9877358490566037,5.78,305.9133962264151,340.85,49,4
20.98,85.17,52,45,1.8332692307692307,11.56,307.34403846153845,342.42,50,2
16.36,81.28,48,45,0.56375,2.03,305.318125,310.47,3,45
21.88,83.49,48,45,1.48625,4.87,305.1141666666667,314.83,48,0
23.82,85.49,45,45,1.4195555555555557,2.9,302.4511111111111,312.19,39,6
20.97,85.02,62,44,1.7016129032258065,5.84,309.1990322580645,334.38,1,61
21.54,81.95,48,44,1.3404166666666668,3.63,305.681875,314.75,44,4
22.99,72.59,48,44,0.7475,5.05,304.50895833333334,315.19,38,10
26.79,94.69,47,44,0.6372340425531915,1.53,302.2676595744681,312.55,7,40
16.87,80.02,46,44,1.041086956521739,2.53,305.62,311.11,43,3
22.32,82.52,82,43,2.7170731707317075,8.6,313.8626829268293,348.09,20,62
21.98,83.24,53,43,1.7896226415094338,12.79,309.35490566037737,349.7,42,11
21.34,81.67,48,43,0.821875,1.79,302.93395833333335,309.74,47,1
22.33,82.53,48,43,1.7966666666666666,10.25,307.04875,339.89,37,11
22.1,83.53,46,43,2.2878260869565215,5.3,317.3826086956522,344.31,18,28
22.79,86.19,46,43,1.855,3.6,307.1804347826087,323.05,46,0
15.07,76.87,45,43,1.2264444444444444,3.39,304.2268888888889,311.13,36,9
17.6,83.2,44,43,1.8902272727272729,5.54,310.4390909090909,338.12,44,0
22.36,82.29,44,43,2.2970454545454544,5.83,315.0895454545455,343.73,24,20
23.79,87.07,44,43,2.195227272727273,4.7,306.4959090909091,317.72,18,26
15.18,76.64,52,42,2.4153846153846152,7.33,314.21903846153845,345.18,49,3
